tx ty tz rx ry rz trx try trz
179.52928239359764 -179.52928239359773 179.52928239359775 8.9354537467929e-15 0.0 -6.853142884494088e-15 3.214096e-14 -1.998401e-15 -4.041212e-14
179.53292306552487 -179.55500571690797 180.52894486470777 -0.09347181777703026 0.004885759878751535 -0.18661947799819809 0.003879738 -0.1849906 0.8085136
179.51423156544416 -179.5906764984296 181.52813364725608 -0.13535634613159503 0.02604153846396897 -0.35990920496048256 0.007192398 -0.3682362 1.630418
179.55394094166718 -179.61079523649542 182.52714235683703 -0.12645344752221532 -0.030034593201124265 -0.3787118963625895 0.02045472 -0.5523196 2.389887
179.5359260683889 -179.63267278953697 183.52674069467764 -0.095023007496589 0.03294710424789282 -0.5139506435931448 0.02958663 -0.734327 3.173915
179.52967422107602 -179.6390784698532 184.52670063470768 -0.05126311056860894 0.10955235887258519 -0.5763790861461795 0.03335121 -0.9183096 3.898587
179.47665376311792 -179.67473163120627 185.52465738884257 -0.12736368921583044 0.17768085824649943 -0.5766281091352582 0.03816708 -1.102394 4.630767
179.46628356698017 -179.71466819365023 186.52380579123943 -0.3143044633013684 0.1738608060675758 -0.6071363710166359 0.05059318 -1.285097 5.321596
179.44579810321443 -179.73037665915254 187.52347253065105 -0.5425041052971493 0.24110071501417119 -0.5690451248325255 0.05170819 -1.470593 5.969282
179.46957332137188 -179.69688750000546 188.52262878230601 -0.6410439985416477 0.3374284475620312 -0.5885638435643309 0.06247458 -1.655746 6.584575
179.44085427392884 -179.7270937452106 189.52175980427688 -0.7789612898195717 0.4150890186790749 -0.518144775767007 0.07747077 -1.839855 7.17943
179.43008117102065 -179.74857310032726 190.52147105136652 -0.7709750378460396 0.4773883331875786 -0.5331517008954034 0.09159598 -2.023392 7.763325
179.42912481063948 -179.75515732081342 191.52144891782928 -0.6086808478060646 0.5431695254988431 -0.5749681060816816 0.07806213 -2.20695 8.294502
179.43604607279153 -179.7773666903224 192.52117830123072 -0.4628379356803103 0.5989182192027446 -0.5632971966636716 0.05269462 -2.394913 8.771047
179.56668257878368 -179.7815386920566 193.51259985521455 -0.3710015016942442 0.6023517634233209 -0.4876531531824074 0.04539942 -2.579811 9.219163
179.56371526202872 -179.79848430826124 194.51245186482532 -0.23420030381641035 0.7013786821723889 -0.2572559423564573 0.03629999 -2.767953 9.647129
